cut,curec,cusac.cut,cuscn.cut,IS,arctot,malla100,malla200,diasmuestreo3,recupmuestreo3
0.313,0.23,20.5,40.7,61.2,2.9,8.8,6.6,138,49.31
0.37,0.291,15.5,61.1,76.6,4.4,12.8,10.1,120,61.61
0.369,0.299,15.2,67,82.2,4,11.2,9.3,168,69.75
0.54,0.339,21.4,21.7,43.1,5.2,11.3,8.6,126,36.64
0.395,0.296,29,37.4,66.4,6.3,12.5,9.9,171,52.64
0.473,0.316,19.5,32.5,52,4.4,10.9,7.9,164,46.64
0.454,0.321,28,30.7,58.7,4.5,12,9.3,186,66.18
0.391,0.286,25.1,37.9,63,5,10.9,8.5,175,54.75
0.355,0.237,22.5,25.1,47.55,5.3,10.2,7.8,156,39.07
0.46,0.309,21.9,30.2,52.1,4.6,10.9,8.1,151,38.11
0.335,0.221,15,30.9,45.9,3.6,10,7.8,158,40.49
0.489,0.4,21.7,64.4,86.1,3.6,9.7,7.7,165,74.08
0.443,0.332,19,50.7,69.7,3.7,9.8,7.1,54,45.55
0.433,0.341,16.7,62,78.7,5,11.4,9.1,122,61.03
0.429,0.362,16.4,75.4,91.8,4.7,10.6,8.6,177,83.71
0.46,0.377,17.2,69.4,86.6,4.9,11.3,8.8,169,76.26
0.343,0.264,15.5,56.3,71.8,4.4,9.9,7.3,185,62.16
0.45,0.34,14.9,57.2,72.1,4.7,11.9,9.3,173,61.38
0.357,0.291,15.7,66.9,82.6,3.3,10.9,8.4,149,70.81
0.388,0.298,14.4,58.9,73.3,5,11,8.6,182,66.46
0.323,0.259,16.8,61,77.8,4,11.8,9.2,153,67.77
0.367,0.27,15.6,49,64.6,3.9,9.6,7.4,182,54.53
0.401,0.282,13.4,45.5,58.9,2.8,9.2,6.8,179,52.97
0.468,0.364,12.2,66.1,78.3,5,12.4,9.7,180,63.69
0.38,0.302,13.3,66.5,79.8,3.4,10.3,8.2,111,74.1
0.367,0.298,13.5,69,82.5,4.1,10.6,8.3,174,70.37
0.526,0.429,17.3,69.6,86.9,4,10.9,8.6,170,77.77
0.437,0.35,18,63.7,81.7,4.5,12.3,9.8,170,70.17
0.412,0.335,24.5,58.1,82.6,5.4,12.8,10.2,174,73.68
0.422,0.334,21.3,57.2,78.5,4.6,11.4,9.1,176,67.26
0.399,0.315,28.8,47.3,76.1,5.5,12.7,10.2,175,66.13
0.413,0.325,21.8,55.1,76.9,5.5,12.6,9.9,187,63.04
0.337,0.264,13.9,60.8,74.7,4.7,13,10.5,170,63.44
0.392,0.28,18.7,41.9,60.6,4.7,12.9,10.2,189,54.35
0.382,0.287,26,41,67,5.2,13.1,10.2,185,57.37
0.4,0.316,22.3,55.2,77.5,5.9,13.2,10.3,196,61.22
0.447,0.357,33.5,44.7,78.2,6.8,12.9,10.2,198,65.31
0.4,0.322,26.6,52.9,79.5,4.6,12,9.2,202,70.05
0.389,0.302,26.1,47,73.1,5,12.5,9.6,183,64.2
0.372,0.291,25.7,47.9,73.6,5.3,12.7,9.9,198,65.49
0.363,0.292,24.7,53.5,78.2,5.6,13,10.2,183,64.18
