modulo;cut;curec;cusac.cut;cuscn.cut;IS;arctot;malla3octavos;malla100;malla200;diasmuestreo1;recupmuestreo1
704-I;0,347;0,235;10,3;41,9;52,2;4,4;37,7;10,8;8,6;40;28,71
704-II;0,338;0,254;13,8;54,1;67,9;3,4;39,2;9,9;7,8;37;36,09
705-II;0,55;0,457;18;73,1;91,1;3,7;35,5;10,7;8,3;34;37,77
705-III;0,461;0,381;17,7;70,3;88;4;35,9;10,4;8,3;30;47,42
706-I;0,493;0,385;11,3;68,1;79,4;5,1;34,2;12;9,4;34;42,88
706-II;0,549;0,43;14,8;65,8;80,6;4,1;33,4;11,5;8,9;33;45,27
706-III;0,43;0,335;11,6;66,3;77,9;3,9;34,2;11,5;8,8;31;45,5
706-IV;0,364;0,281;12,7;61,2;73,9;4,1;35,1;11,2;8,9;31;40,69
707-I;0,341;0,244;15,3;44,1;59,4;4,4;34,4;10,4;8,3;32;32,32
707-II;0,551;0,46;15;77,4;92,4;3,5;33,7;9,7;7,8;37;45,93
707-III;0,699;0,578;15,3;77,1;92,4;4,4;33,4;9,7;7,7;35;46,75
707-IV;0,398;0,317;12,7;68,2;80,9;5,2;32,5;12,1;9,4;40;45,9
707-V;0,373;0,295;13;65,1;78,1;5;33,3;12,7;10;37;42,66
708-I;0,287;0,204;14,4;40,9;55,3;4,4;32,8;11,7;9,1;38;35,36
708-II;0,436;0,355;21,9;61,8;83,7;4,1;35,7;10,4;8,2;37;53,82
708-IV;0,313;0,23;20,5;40,7;61,2;2,9;36;8,8;6,6;54;43,03
708-V;0,37;0,291;15,5;61,1;76,6;4,4;31,9;12,8;10,1;34;39,84
709-I;0,369;0,299;15,2;67;82,2;4;34,4;11,2;9,3;37;49,61
709-III;0,54;0,339;21,4;21,7;43,1;5,2;31,5;11,3;8,6;33;25,11
710-II;0,395;0,296;29;37,4;66,4;6,3;31,3;12,5;9,9;35;40,41
710-III;0,473;0,316;19,5;32,5;52;4,4;32,5;10,9;7,9;37;34,85
711-II;0,454;0,321;28;30,7;58,7;4,5;31,4;12;9,3;31;39,95
711-III;0,391;0,286;25,1;37,9;63;5;32,5;10,9;8,5;33;30,81
712-I;0,355;0,237;22,5;25,1;47,55;5,3;33,5;10,2;7,8;33;25,14
712-II;0,46;0,309;21,9;30,2;52,1;4,6;33,1;10,9;8,1;30;28,58
713-I;0,335;0,221;15;30,9;45,9;3,6;35,2;10;7,8;36;27,11
713-II;0,489;0,4;21,7;64,4;86,1;3,6;36;9,7;7,7;37;47,24
713-III;0,443;0,332;19;50,7;69,7;3,7;34,6;9,8;7,1;43;39,9
